mapped_sector,ERI_Score_V1,ERI_Score_V2
Transportation & Storage,0.7830040011666259,0.8776580105649254
Other Industries,0.7758035604211659,0.7657500755151168
Arts & Recreation,0.7613330501261389,0.803627833653728
Education & Health,0.75352384075091,0.7984742387849816
Professional Services,0.742697013455748,0.824260853143458
Admin & Support Services,0.7351760057203066,0.7588365491719709
Finance & Insurance,0.7331356668324723,0.8510723731687277
Accommodation & Food Services,0.7244916515878208,0.752570779913859
Wholesale & Retail Trade,0.7159491726331215,0.8351374711366072
Information & Communications,0.7112567095705848,0.8595160868870807
Real Estate,0.7015741816513883,0.8728454429970338
Other Services,0.5971190267504385,0.7226318641672904
Manufacturing,0.5805936900068784,0.6046490196560595
Construction,0.5803021380022018,0.7036773276429087
