mapped_sector,eri_mean,eri_volatility,archetype
Accommodation & Food Services,0.6486061961657711,0.0743833980358031,"Stagnant (Low Res, Low Vol)"
Admin & Support Services,0.5622482575586302,0.1284254480457053,"Distressed (Low Res, High Vol)"
Arts & Recreation,0.7518072346470488,0.08191969983815588,"Stalwart (High Res, Low Vol)"
Construction,0.3344303806652627,0.24736898817070999,"Distressed (Low Res, High Vol)"
Education & Health,0.7640045118715467,0.03524628402217055,"Stalwart (High Res, Low Vol)"
Finance & Insurance,0.9137922675616805,0.06580672534462564,"Stalwart (High Res, Low Vol)"
Information & Communications,0.686143116579781,0.1274232887929657,"Cyclical Grower (High Res, High Vol)"
Manufacturing,0.585471110933352,0.09909386560518045,"Stagnant (Low Res, Low Vol)"
Other Industries,0.769564667176065,0.0012328880697478491,"Stalwart (High Res, Low Vol)"
Other Services,0.5208110077489148,0.15608839990163306,"Distressed (Low Res, High Vol)"
Professional Services,0.7362507736131972,0.07418252542587919,"Stalwart (High Res, Low Vol)"
Real Estate,0.4428556447167378,0.2916734520226996,"Distressed (Low Res, High Vol)"
Transportation & Storage,0.6530199293551023,0.15031107048428297,"Cyclical Grower (High Res, High Vol)"
Wholesale & Retail Trade,0.6318086756673771,0.17240149941277297,"Distressed (Low Res, High Vol)"
